scientificName,taxonConceptID,dataResourceUid,stateProvince,country,zones
Hydromys chrysogaster,urn:lsid:biodiversity.org.au:afd.taxon:9baa55f2-69c1-486c-91f7-f96e58b7c945,dr348,Western Australia,Australia,
Hydromys chrysogaster,urn:lsid:biodiversity.org.au:afd.taxon:9baa55f2-69c1-486c-91f7-f96e58b7c945,dr364,Western Australia,Australia,
Hydromys chrysogaster,urn:lsid:biodiversity.org.au:afd.taxon:9baa55f2-69c1-486c-91f7-f96e58b7c945,dr7815,Western Australia,Australia,
Hydromys chrysogaster,urn:lsid:biodiversity.org.au:afd.taxon:9baa55f2-69c1-486c-91f7-f96e58b7c945,dr8128,Western Australia,Australia,
Hygrochloa aquatica,https://id.biodiversity.org.au/node/apni/2911250,dr15863,Western Australia,Australia,
Hylacola pyrrhopygia,ALA_Hylacola_pyrrhopygia,dr1089,Queensland,Australia,
Hylacola pyrrhopygia,ALA_Hylacola_pyrrhopygia,dr2009,Queensland,Australia,
Hylacola pyrrhopygia,ALA_Hylacola_pyrrhopygia,dr341,Queensland,Australia,
Hylacola pyrrhopygia,ALA_Hylacola_pyrrhopygia,dr364,Queensland,Australia,
Hylaeus (Sphaerhylaeus) globuliferus,urn:lsid:biodiversity.org.au:afd.taxon:d3d52d02-537e-4cda-bfb2-0c0e93e38088,dr342,Western Australia,Australia,
Hylaeus (Sphaerhylaeus) globuliferus,urn:lsid:biodiversity.org.au:afd.taxon:d3d52d02-537e-4cda-bfb2-0c0e93e38088,dr348,Western Australia,Australia,
Hylaeus (Sphaerhylaeus) globuliferus,urn:lsid:biodiversity.org.au:afd.taxon:d3d52d02-537e-4cda-bfb2-0c0e93e38088,dr920,Western Australia,Australia,
Hymenophyllum digitatum,https://id.biodiversity.org.au/node/apni/2920480,dr15860,Queensland,Australia,
Hymenophyllum digitatum,https://id.biodiversity.org.au/node/apni/2920480,dr15865,Queensland,Australia,
Hymenophyllum digitatum,https://id.biodiversity.org.au/node/apni/2920480,dr15867,Queensland,Australia,
